,AD NULL,,,AD Linear,,,AD Intersectional,,
Intercept,0.4501850936,0.3981154529,0.4985878354,0.4694819562,0.3347363223,0.6091588864,0.3940550015,0.1727671782,0.6036564872
rater_raceBlackDAfricanAmerican,,,,-0.08986417109,-0.2374107388,0.07359132111,-0.1051269044,-0.4050933235,0.2004010905
rater_raceLatinXLatinoHispanicorSpanishOrigin,,,,-0.07969478471,-0.2269525728,0.06683696382,0.0199072931,-0.2936342572,0.3405790475
rater_raceMultiracial,,,,0.07529482378,-0.08883954876,0.2425377323,0.2414990264,-0.07894077696,0.5641661116
rater_raceWhite,,,,-0.1801097333,-0.3314977034,-0.0236220561,-0.0325898546,-0.356579232,0.2909424625
rater_genderWoman,,,,0.1319452657,0.03575517903,0.2254039229,0.2599866988,0.05787342276,0.4647514035
rater_agegenz,,,,0.009937917668,-0.1051477986,0.1251334912,0.05187843359,-0.2605581606,0.3671320687
rater_agemillenial,,,,-0.05848952096,-0.1780752665,0.06492271722,-0.02797298928,-0.2519557373,0.209966041
rater_raceBlackDAfricanAmerican:rater_genderWoman,,,,,,,-0.1329442207,-0.4350456641,0.1624540239
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_genderWoman,,,,,,,-0.3013148836,-0.5924322534,-0.01257079921
rater_raceMultiracial:rater_genderWoman,,,,,,,-0.268307404,-0.6351841717,0.08905421497
rater_raceWhite:rater_genderWoman,,,,,,,-0.06804890484,-0.3565142328,0.2087263434
rater_raceBlackDAfricanAmerican:rater_agegenz,,,,,,,0.08662775482,-0.3125525715,0.4859045606
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_agegenz,,,,,,,0.01923632512,-0.4049986065,0.4410986835
rater_raceMultiracial:rater_agegenz,,,,,,,-0.1215391002,-0.5428078816,0.313582531
rater_raceWhite:rater_agegenz,,,,,,,-0.1883182201,-0.575728709,0.1986373296
rater_raceBlackDAfricanAmerican:rater_agemillenial,,,,,,,0.03278114164,-0.3688776978,0.4162105258
rater_raceLatinXLatinoHispanicorSpanishOrigin:rater_agemillenial,,,,,,,0.111058102,-0.2594922065,0.4766746937
rater_raceMultiracial:rater_agemillenial,,,,,,,-0.1480823804,-0.5477948923,0.2419289527
rater_raceWhite:rater_agemillenial,,,,,,,-0.1349670278,-0.5490840961,0.2660617878
sd_item_id_intercept,0.2197681308,0.2041837224,0.2367025144,0.2196577827,0.2033816218,0.2376801961,0.2193708284,0.2027489777,0.2360740339
sd_conversation_id_intercept,0.2587776093,0.2291359284,0.2941554149,0.2511884346,0.2198802045,0.286477193,0.2534898028,0.2214260627,0.2914543051
